id,principal,secundario,referencia,colonia,delegacion,longitud,latitud,nombre
20,Paseo de la Reforma,Río Tamesis,,Cuauhtémoc,Cuauhtémoc,-99.16015,19.43091,Paseo de la Reforma-Río Tamesis
21,Paseo de la Reforma,Lieja,,Juárez,Cuauhtémoc,-99.17503,19.42336,Paseo de la Reforma-Lieja
22,Paseo de la Reforma,Manchester,,Juárez,Cuauhtémoc,-99.17221,19.42468,Paseo de la Reforma-Manchester
23,Paseo de la Reforma,Praga,,Juárez,Cuauhtémoc,-99.17049,19.42545,Paseo de la Reforma-Praga
24,Paseo de la Reforma,Varsovia,,Juárez,Cuauhtémoc,-99.16906,19.4261,Paseo de la Reforma-Varsovia
25,Paseo de la Reforma,Estocolmo,,Juárez,Cuauhtémoc,-99.16684,19.42719,Paseo de la Reforma-Estocolmo
26,Paseo de la Reforma,Versalles,,Juárez,Cuauhtémoc,-99.155,19.4326,Paseo de la Reforma-Versalles
27,Paseo de la Reforma,Havre,,Juárez,Cuauhtémoc,-99.1627,19.42916,Paseo de la Reforma-Havre
28,Toledo,Tokio,,Juárez,Cuauhtémoc,-99.17257,19.42366,Toledo-Tokio
29,Reforma,Bucareli,,Centro,Cuauhtémoc,-99.1503,19.43494,Reforma-Bucareli
30,Hamburgo,Genova,,Juárez,Cuauhtémoc,-99.16426,19.42638,Hamburgo-Genova
31,Hamburgo,Insurgentes,,Juárez,Cuauhtémoc,-99.16125,19.42794,Hamburgo-Insurgentes
32,Londres,Sevilla,,Juárez,Cuauhtémoc,-99.1697,19.42285,Londres-Sevilla
33,Londres,Florencia,,Juárez,Cuauhtémoc,-99.1665,19.42419,Londres-Florencia
34,Liverpool,Genova,,Juárez,Cuauhtémoc,-99.16369,19.42458,Liverpool-Genova
35,Liverpool,Genova,,Juárez,Cuauhtémoc,-99.16352,19.42456,Liverpool-Genova
36,Puebla,Veracruz,,Roma Norte,Cuauhtémoc,-99.17588,19.41966,Puebla-Veracruz
37,Guadalajara,Puebla,,Roma Norte,Cuauhtémoc,-99.17267,19.42038,Guadalajara-Puebla
38,Cozumel,Chapultepec,,Roma Norte,Cuauhtémoc,-99.17158,19.4213,Cozumel-Chapultepec
39,Medellín,Chapultepec,,Roma Norte,Cuauhtémoc,-99.16725,19.42232,Medellín-Chapultepec
40,Oaxaca,Puebla,,Roma Norte,Cuauhtémoc,-99.16414,19.42238,Oaxaca-Puebla
41,Paseo de la Reforma,Av. de la República,,Tabacalera,Cuauhtémoc,-99.15032,19.43542,Paseo de la Reforma-Av. de la República
42,Sinaloa,Valladolid,,Roma Norte,Cuauhtémoc,-99.16821,19.42063,Sinaloa-Valladolid
43,Juárez,Dr. Mora,,Centro,Cuauhtémoc,-99.14591,19.43521,Juárez-Dr. Mora
44,Durango,Veracruz,,Roma Norte,Cuauhtémoc,-99.17471,19.41814,Durango-Veracruz
45,Durango,Sonora,,Roma Norte,Cuauhtémoc,-99.17194,19.41875,Durango-Sonora
46,Durango,Salamanca,,Roma Norte,Cuauhtémoc,-99.16976,19.41919,Durango-Salamanca
47,Plaza Madrid,Oaxaca,,Roma Norte,Cuauhtémoc,-99.16627,19.41971,Plaza Madrid-Oaxaca
48,Independencia,Azueta,,Centro,Cuauhtémoc,-99.14667,19.43371,Independencia-Azueta
49,Mazatlán,Juan de la Barrera,,Condesa,Cuauhtémoc,-99.17562,19.41689,Mazatlán-Juan de la Barrera
50,Cuernavaca,Veracruz,,Condesa,Cuauhtémoc,-99.17359,19.41689,Cuernavaca-Veracruz
51,Colima,Oaxaca,,Roma Norte,Cuauhtémoc,-99.16844,19.41803,Colima-Oaxaca
52,Hidalgo,Trujano,,Centro,Cuauhtémoc,-99.14371,19.43656,Hidalgo-Trujano
53,Fernando Montes de Oca,Tula,,Condesa,Cuauhtémoc,-99.17847,19.41469,Fernando Montes de Oca-Tula
54,Parque España,Sonora,,Condesa,Cuauhtémoc,-99.1708,19.41616,Parque España-Sonora
55,5 de Mayo,Bolivar,,Centro,Cuauhtémoc,-99.13807,19.43451,5 de Mayo-Bolivar
56,Álvaro Obregón,Medellín,,Roma Norte,Cuauhtémoc,-99.16561,19.4171,Álvaro Obregón-Medellín
57,Cuernavaca,Juan Escutia,,Condesa,Cuauhtémoc,-99.17477,19.41497,Cuernavaca-Juan Escutia
58,Parque España,Juan de la Barrera,,Condesa,Cuauhtémoc,-99.1719,19.41536,Parque España-Juan de la Barrera
59,Popocatépetl,Amsterdam,,Hipódromo,Cuauhtémoc,-99.16659,19.41524,Popocatépetl-Amsterdam
60,Mazatlán,Fernando Montes de Oca,,Condesa,Cuauhtémoc,-99.17721,19.41412,Mazatlán-Fernando Montes de Oca
61,Avenida México,Sonora,,Hipódromo,Cuauhtémoc,-99.16943,19.41379,Avenida México-Sonora
62,Fernando Montes de Oca,Amatlán,,Condesa,Cuauhtémoc,-99.17523,19.41331,Fernando Montes de Oca-Amatlán
63,Nuevo León,Laredo,,Hipódromo,Cuauhtémoc,-99.17168,19.41299,Nuevo León-Laredo
64,Sonora,Amsterdam,,Hipódromo,Cuauhtémoc,-99.16694,19.41298,Sonora-Amsterdam
65,Marconi,Tacuba,,Centro,Cuauhtémoc,-99.13981,19.43652,Marconi-Tacuba
66,Mazatlán,Francisco Márquez,,Condesa,Cuauhtémoc,-99.17848,19.41181,Mazatlán-Francisco Márquez
67,Vicente Suárez,Michoacan,,Condesa,Cuauhtémoc,-99.17575,19.4117,Vicente Suárez-Michoacan
68,Tamaulipas,Michoacan,,Hipódromo Condesa,Cuauhtémoc,-99.17378,19.41177,Tamaulipas-Michoacan
69,Michoacan,Amsterdam,,Hipódromo,Cuauhtémoc,-99.16814,19.4108,Michoacan-Amsterdam
70,Parque México,Michoacan,,Hipódromo,Cuauhtémoc,-99.16983,19.41128,Parque México-Michoacan
71,Amsterdam,Michoacan,,Hipódromo,Cuauhtémoc,-99.17127,19.41136,Amsterdam-Michoacan
72,Mazatlán,Alfonso Reyes,,Hipódromo Condesa,Cuauhtémoc,-99.17957,19.40986,Mazatlán-Alfonso Reyes
73,Campeche,Tamaulipas,,Hipódromo Condesa,Cuauhtémoc,-99.17554,19.41007,Campeche-Tamaulipas
74,Nuevo León,Ozulama,,Hipódromo,Cuauhtémoc,-99.1728,19.41047,Nuevo León-Ozulama
75,Alfonso Reyes,Atlixco,,Hipódromo Condesa,Cuauhtémoc,-99.17676,19.40868,Alfonso Reyes-Atlixco
76,Amsterdam,Chilpancingo,,Hipódromo,Cuauhtémoc,-99.17044,19.40944,Amsterdam-Chilpancingo
77,Choapan,Tamaulipas,,Hipódromo,Cuauhtémoc,-99.17827,19.40675,Choapan-Tamaulipas
78,Benjamín Hill,Tamaulipas,,Hipódromo,Cuauhtémoc,-99.17736,19.40751,Benjamín Hill-Tamaulipas
79,Saltillo,Alfonso Reyes,,Hipódromo,Cuauhtémoc,-99.17431,19.40745,Saltillo-Alfonso Reyes
80,Nuevo León,Aguascalientes,,Hipódromo,Cuauhtémoc,-99.17213,19.40723,Nuevo León-Aguascalientes
81,Aguascalientes,Insurgentes,,Hipódromo,Cuauhtémoc,-99.16873,19.40793,Aguascalientes-Insurgentes
82,Independencia,Marroquí,,Centro,Cuauhtémoc,-99.14404,19.43334,Independencia-Marroquí
83,Nuevo León,Alfonso Reyes,,Hipódromo,Cuauhtémoc,-99.17216,19.40628,Nuevo León-Alfonso Reyes
84,Chilpancingo,Tlaxcala,,Hipódromo,Cuauhtémoc,-99.16957,19.40687,Chilpancingo-Tlaxcala
85,Rosas Moreno,Sullivan,,SAN RAFAEL,Cuauhtémoc,-99.16243,19.43408,Rosas Moreno-Sullivan
86,Sullivan,Insurgentes,,SAN RAFAEL,Cuauhtémoc,-99.15924,19.43245,Sullivan-Insurgentes
87,Gante,16 de Septiembre,,Centro,Cuauhtémoc,-99.13956,19.43279,Gante-16 de Septiembre
88,2a. Cerrada de 5 de Mayo,Palma,,Centro,Cuauhtémoc,-99.13533,19.43376,2a. Cerrada de 5 de Mayo-Palma
89,República de Guatemala,Monte de Piedad,,Centro,Cuauhtémoc,-99.13373,19.43496,República de Guatemala-Monte de Piedad
90,José María Pino Suárez,Corregidora,,Centro,Cuauhtémoc,-99.13251,19.43144,José María Pino Suárez-Corregidora
91,República de Cuba,Allende,Frente a numero 42,Centro,Cuauhtémoc,-99.137571,19.4374,República de Cuba-Allende
92,San Ildefonso,República de Argentina,A un costado de la Secretaría de Seguridad Pública,Centro,Cuauhtémoc,-99.131497,19.436531,San Ildefonso-República de Argentina
93,Palma Norte,Republica de Cuba,Frente a Restaurante Barracuda,Centro,Cuauhtémoc,-99.134811,19.436741,Palma Norte-Republica de Cuba
